"","likelihood","bart","expr","rank_size","cancer"
"13",0.5,0.957,2.93778606029996,1,"STES"
"2",0.5,0.944,2.83164024130806,2,"BRCA_1"
"10",0.5,0.956,2.6863108391024,3,"LUAD"
"11",0.5,0.966,2.65221648366034,4,"LUSC"
"3",0.5,0.676,2.64532566443773,5,"BRCA_2"
"12",0.5,0.971,2.6419108491814,6,"PRAD"
"14",0.5,0.744,2.62225997233805,7,"THCA"
"15",0.5,0.684,2.59473039941703,8,"UCEC"
"1",0.5,0.407,2.56949983898751,9,"BLCA"
"5",0.5,0.763,2.4073714307407,10,"HNSC"
"4",0.5,0.749,2.39489059176465,11,"COAD_READ"
"7",0.5,0.768,2.19591173867892,12,"KIRC"
"8",0.5,0.799,1.98245378601228,13,"KIRP"
"6",0.5,0.798,1.95759370224054,14,"KICH"
"9",0.5,0.794,1.63436774700449,15,"LIHC"
