"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.8,0.738741051456142,4,"BLCA"
"2",0.5,0.277,0.247582332025906,8,"BRCA_1"
"3",0.5,0.557,0.41907627058528,7,"BRCA_2"
"4",0.5,0.313,3.89155322906091,1,"COAD_READ"
"5",0.5,0.079,0.719674786593402,5,"HNSC"
"6",0.5,0.412,-1.48816909373455,15,"KICH"
"7",0.5,0.158,-0.583038629270432,11,"KIRC"
"8",0.5,0.187,-0.990151382913523,13,"KIRP"
"9",0.5,0.236,-1.21071262637132,14,"LIHC"
"10",0.5,0.312,0.0718999347041085,9,"LUAD"
"11",0.5,0.355,0.674371645696451,6,"LUSC"
"12",0.5,0.324,-0.286961949888621,10,"PRAD"
"13",0.5,0.237,1.85600070033819,2,"STES"
"14",0.5,0.174,-0.833441783438138,12,"THCA"
"15",0.5,0.842,1.57038217058247,3,"UCEC"
