"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.566,2.06624813054801,9,"BLCA"
"2",0.5,0.342,2.11169479229405,8,"BRCA_1"
"3",0.5,0.518,2.21885974118446,4,"BRCA_2"
"4",0.5,0.23,2.22849857667623,3,"COAD_READ"
"5",0.5,0.225,1.80810624651517,14,"HNSC"
"6",0.5,0.8,2.36254902305569,1,"KICH"
"7",0.5,0.123,2.15645074288972,5,"KIRC"
"8",0.5,0.239,1.81485528183597,13,"KIRP"
"9",0.5,0.284,1.63932851474571,15,"LIHC"
"10",0.5,0.187,2.1311454654809,6,"LUAD"
"11",0.5,0.395,2.05270679666054,10,"LUSC"
"12",0.5,0.258,1.87604671317914,12,"PRAD"
"13",0.5,0.133,2.27877951891537,2,"STES"
"14",0.5,0.133,1.92543203011998,11,"THCA"
"15",0.5,0.386,2.12383072497862,7,"UCEC"
