"","likelihood","bart","expr","rank_size","cancer"
"7",0.572431781848635,0.732,2.41320306560994,1,"KIRC"
"2",0.843653766780307,0.352,2.29242538807492,2,"BRCA_1"
"10",0.813804289544772,0.493,2.27336994152418,3,"LUAD"
"14",0.630714184762349,0.357,2.24065291832112,4,"THCA"
"13",0.59005655736333,0.551,2.21631717467968,5,"STES"
"8",0.438388300944673,0.643,2.17247901077199,6,"KIRP"
"11",0.0312357795038602,0.445,2.16749241689963,7,"LUSC"
"3",0.257997818583661,0.415,2.13961317565774,8,"BRCA_2"
"12",0.698554898096449,0.56,2.13770584736929,9,"PRAD"
"15",0.00625435460620951,0.376,2.08600349533364,10,"UCEC"
"4",0.996597147888544,0.428,1.85660589171572,11,"COAD_READ"
"1",0.475887782701822,0.294,1.74530563480642,12,"BLCA"
"9",5.7169668672158e-09,0.405,1.74397356393238,13,"LIHC"
"6",0.602630702521412,0.263,1.71615497029925,14,"KICH"
"5",4.65633461073192e-06,0.587,1.69371331425809,15,"HNSC"
