"","likelihood","bart","expr","rank_size","cancer"
"2",0.5,0.178,2.10831399100992,1,"BRCA_1"
"3",0.5,0.689,2.09195031558667,2,"BRCA_2"
"11",0.5,0.377,1.90629719913982,3,"LUSC"
"4",0.5,0.345,1.82986471701807,4,"COAD_READ"
"7",0.5,0.078,1.63450625040904,5,"KIRC"
"10",0.5,0.097,1.59499758480818,6,"LUAD"
"15",0.5,0.653,1.38024984036433,7,"UCEC"
"5",0.5,0.239,1.30423599979909,8,"HNSC"
"6",0.5,0.841,1.19276941719906,9,"KICH"
"12",0.5,0.091,1.17212781106983,10,"PRAD"
"14",0.5,0.086,1.11378645451233,11,"THCA"
"13",0.5,0.261,1.00202120797041,12,"STES"
"1",0.5,0.806,0.812269498801282,13,"BLCA"
"8",0.5,0.288,0.551887474217699,14,"KIRP"
"9",0.5,0.183,0.459397827042257,15,"LIHC"
