"","likelihood","bart","expr","rank_size","cancer"
"10",0.5,0.347,0.416062958329307,1,"LUAD"
"7",0.5,0.878,0.339380031824242,2,"KIRC"
"3",0.5,0.509,-0.0357048624107961,3,"BRCA_2"
"11",0.5,0.285,-0.165427239123207,4,"LUSC"
"14",0.5,0.593,-0.168077612400412,5,"THCA"
"5",0.5,0.741,-0.321837811200247,6,"HNSC"
"4",0.5,0.194,-0.380717493788269,7,"COAD_READ"
"13",0.5,0.456,-0.380954572478276,8,"STES"
"15",0.5,0.119,-0.504872285213092,9,"UCEC"
"2",0.5,0.226,-0.600429280971468,10,"BRCA_1"
"8",0.5,0.866,-0.70688360196734,11,"KIRP"
"1",0.5,0.096,-0.820382282622882,12,"BLCA"
"12",0.5,0.297,-0.867021188102749,13,"PRAD"
"9",0.5,0.164,-0.905069099010651,14,"LIHC"
"6",0.5,0.319,-1.39177494888653,15,"KICH"
