"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.613,1.58293641116428,8,"BLCA"
"2",0.5,0.306,2.05716928878711,2,"BRCA_1"
"3",0.5,0.449,1.83789781700069,3,"BRCA_2"
"4",0.5,0.37,1.3712319712904,12,"COAD_READ"
"5",0.5,0.238,1.32792016869523,13,"HNSC"
"6",0.5,0.777,1.02424553770885,14,"KICH"
"7",0.5,0.213,1.58031021843578,9,"KIRC"
"8",0.5,0.265,1.52974631516919,10,"KIRP"
"9",0.5,0.254,0.710052992493851,15,"LIHC"
"10",0.5,0.177,1.70401584300519,4,"LUAD"
"11",0.5,0.172,1.67972916925507,5,"LUSC"
"12",0.5,0.266,1.62570906976834,6,"PRAD"
"13",0.5,0.166,2.09751922139582,1,"STES"
"14",0.5,0.157,1.59966383335284,7,"THCA"
"15",0.5,0.472,1.46524047226821,11,"UCEC"
