"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.354,1.52858347461175,8,"BLCA"
"2",0.5,0.154,1.66444796970049,3,"BRCA_1"
"3",0.5,0.252,1.59529879967772,6,"BRCA_2"
"4",0.5,0.26,1.44148331995558,10,"COAD_READ"
"5",0.5,0.245,1.39270007718024,12,"HNSC"
"6",0.5,0.116,1.20643926927381,14,"KICH"
"7",0.5,0.268,1.71385854213601,2,"KIRC"
"8",0.5,0.197,1.39481505091462,11,"KIRP"
"9",0.5,0.229,0.962619100643843,15,"LIHC"
"10",0.5,0.241,1.62641239134817,5,"LUAD"
"11",0.5,0.595,1.65557258700135,4,"LUSC"
"12",0.5,0.212,1.49325659566456,9,"PRAD"
"13",0.5,0.263,1.84693053014906,1,"STES"
"14",0.5,0.213,1.53176678201808,7,"THCA"
"15",0.5,0.16,1.2936712982368,13,"UCEC"
