"","likelihood","bart","expr","rank_size","cancer"
"3",1.5760624837254e-13,0.424,4.06894267555707,1,"BRCA_2"
"2",1.80641599604697e-16,0.604,3.96101012013361,2,"BRCA_1"
"4",2.01964622729757e-07,0.804,3.89809821411011,3,"COAD_READ"
"1",9.96985615672676e-10,0.476,3.83910120314659,4,"BLCA"
"11",1.17948222491228e-11,0.632,3.78862120922911,5,"LUSC"
"10",2.82537260919671e-11,0.813,3.77112971307913,6,"LUAD"
"15",1.16034241646091e-06,0.513,3.65396765216493,7,"UCEC"
"5",8.71478035810553e-18,0.839,3.55750271885277,8,"HNSC"
"13",2.5977648171145e-13,0.872,3.49127298620082,9,"STES"
"8",0.00180289872275902,0.713,3.48861954257759,10,"KIRP"
"14",0.252314170290292,0.802,3.41454939574624,11,"THCA"
"7",0.00159370919139597,0.828,3.3613682666179,12,"KIRC"
"12",1.21187237491293e-06,0.895,3.25738076051799,13,"PRAD"
"6",2.20808794219217e-12,0.305,3.0360115089239,14,"KICH"
"9",2.63203950583562e-21,0.819,2.95353452353805,15,"LIHC"
