"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.0679999999999999,5.38297914741826,15,"BLCA"
"2",0.5,0.107,6.14193870285426,8,"BRCA_1"
"3",0.5,0.866,6.39682520225645,6,"BRCA_2"
"4",0.5,0.0610000000000001,5.55633774416106,13,"COAD_READ"
"5",0.5,0.158,5.73157158788536,11,"HNSC"
"6",0.5,0.133,5.87605346436104,10,"KICH"
"7",0.5,0.838,7.13147149261503,1,"KIRC"
"8",0.5,0.786,6.22165122459152,7,"KIRP"
"9",0.5,0.0669999999999999,5.56488627112145,12,"LIHC"
"10",0.5,0.109,6.9395374044496,2,"LUAD"
"11",0.5,0.0659999999999999,5.93409757580844,9,"LUSC"
"12",0.5,0.109,5.45851229001289,14,"PRAD"
"13",0.5,0.078,6.40923881575648,5,"STES"
"14",0.5,0.278,6.58883304271096,3,"THCA"
"15",0.5,0.084,6.42674953965408,4,"UCEC"
