"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.853,2.13666469784115,8,"BLCA"
"2",0.5,0.722,2.37633862041769,2,"BRCA_1"
"3",0.5,0.836,2.6047268419844,1,"BRCA_2"
"4",0.5,0.834,2.20752331582326,6,"COAD_READ"
"5",0.5,0.678,2.12201345644747,9,"HNSC"
"6",0.5,0.171,1.57271418235951,15,"KICH"
"7",0.5,0.573,2.03793411931586,11,"KIRC"
"8",0.5,0.657,1.80755170408728,14,"KIRP"
"9",0.5,0.769,1.97514446253809,13,"LIHC"
"10",0.5,0.722,2.23401012368641,5,"LUAD"
"11",0.5,0.601,2.28613970049145,3,"LUSC"
"12",0.5,0.559,2.16609006292611,7,"PRAD"
"13",0.5,0.632,2.27303556932868,4,"STES"
"14",0.5,0.42,2.10470462655882,10,"THCA"
"15",0.5,0.816,2.01468867680004,12,"UCEC"
