"","likelihood","bart","expr","rank_size","cancer"
"7",0.5,0.904,1.62169965245386,1,"KIRC"
"3",0.5,0.916,1.57127153303797,2,"BRCA_2"
"13",0.5,0.862,1.25247533935806,3,"STES"
"5",0.5,0.915,1.14190279872228,4,"HNSC"
"11",0.5,0.891,1.13559376996332,5,"LUSC"
"4",0.5,0.761,0.964932479551315,6,"COAD_READ"
"15",0.5,0.885,0.885115371691143,7,"UCEC"
"1",0.5,0.784,0.69212144475914,8,"BLCA"
"2",0.5,0.912,0.327592099015853,9,"BRCA_1"
"10",0.5,0.902,0.186439750230462,10,"LUAD"
"9",0.5,0.908,-0.670457524134314,11,"LIHC"
"12",0.5,0.895,-1.13033666906889,12,"PRAD"
"6",0.5,0.748,-1.1537083100943,13,"KICH"
"8",0.5,0.855,-1.20620756647525,14,"KIRP"
"14",0.5,0.842,-1.29531187670111,15,"THCA"
