"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.106,2.76692204253116,5,"BLCA"
"2",0.5,0.47,2.46275468593335,8,"BRCA_1"
"3",0.5,0.123,2.90718732526438,3,"BRCA_2"
"4",0.5,0.785,3.12184451098982,1,"COAD_READ"
"5",0.5,0.726,2.71535021504687,6,"HNSC"
"6",0.5,0.156,2.39519295421478,9,"KICH"
"7",0.5,0.894,2.18921019124704,13,"KIRC"
"8",0.5,0.8,2.09215188925324,14,"KIRP"
"9",0.5,0.24,2.90346723364315,4,"LIHC"
"10",0.5,0.625,2.28071677291022,11,"LUAD"
"11",0.5,0.655,3.00683801378349,2,"LUSC"
"12",0.5,0.488,2.21958651072231,12,"PRAD"
"13",0.5,0.859,2.59323782445622,7,"STES"
"14",0.5,0.789,1.86284214834308,15,"THCA"
"15",0.5,0.207,2.3670998431805,10,"UCEC"
