"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.164,3.62712692367846,5,"BLCA"
"2",0.5,0.23,3.84435602218319,2,"BRCA_1"
"3",0.5,0.793,3.79364312607415,3,"BRCA_2"
"4",0.5,0.867,3.47529328882365,10,"COAD_READ"
"5",0.5,0.893,3.4932873676692,8,"HNSC"
"6",0.5,0.184,3.41005931103905,12,"KICH"
"7",0.5,0.738,3.3678120149334,13,"KIRC"
"8",0.5,0.918,3.453769256455,11,"KIRP"
"9",0.5,0.468,2.86158183072554,15,"LIHC"
"10",0.5,0.659,3.53055753855511,7,"LUAD"
"11",0.5,0.631,3.60994822927479,6,"LUSC"
"12",0.5,0.09,3.17288232833128,14,"PRAD"
"13",0.5,0.799,3.49003230802291,9,"STES"
"14",0.5,0.857,4.1225018883804,1,"THCA"
"15",0.5,0.487,3.69515540415324,4,"UCEC"
