"","likelihood","bart","expr","rank_size","cancer"
"4",0.8127170636299,0.578,1.28195800457606,1,"COAD_READ"
"13",0.0609654665648215,0.666,1.26363737510966,2,"STES"
"3",0.221884503320113,0.372,1.14309845469218,3,"BRCA_2"
"15",0.759052041109644,0.485,0.95959075080665,4,"UCEC"
"1",0.070146369004505,0.434,0.842320222185576,5,"BLCA"
"2",0.742633155743964,0.279,0.67685220426847,6,"BRCA_1"
"10",0.040694699578409,0.643,0.670103244278373,7,"LUAD"
"11",0.255683541229966,0.588,0.631765234365976,8,"LUSC"
"5",0.665079897696037,0.664,0.503988453786467,9,"HNSC"
"8",0.687596590028269,0.391,0.471352800082068,10,"KIRP"
"14",0.117993722886864,0.429,0.306299982764277,11,"THCA"
"12",0.999873547788034,0.783,0.228855225369217,12,"PRAD"
"6",0.467758609690405,0.222,0.207724774877897,13,"KICH"
"7",0.682484903885221,0.432,0.165391805164581,14,"KIRC"
"9",0.166095191710951,0.772,0.0169307334222028,15,"LIHC"
