"","likelihood","bart","expr","rank_size","cancer"
"3",0.5,0.635,4.82568155213592,1,"BRCA_2"
"12",0.5,0.587,4.70098635057639,2,"PRAD"
"2",0.5,0.651,4.67997776752455,3,"BRCA_1"
"14",0.5,0.337,4.65885985598125,4,"THCA"
"7",0.5,0.498,4.53347696268597,5,"KIRC"
"1",0.5,0.866,4.49063586319127,6,"BLCA"
"11",0.5,0.487,4.45436808742594,7,"LUSC"
"10",0.5,0.62,4.43852840695201,8,"LUAD"
"5",0.5,0.56,4.40070001826377,9,"HNSC"
"15",0.5,0.674,4.34421268758461,10,"UCEC"
"4",0.5,0.778,4.32944102820549,11,"COAD_READ"
"13",0.5,0.631,4.22535824994059,12,"STES"
"8",0.5,0.583,4.10610248799839,13,"KIRP"
"9",0.5,0.796,3.909503135526,14,"LIHC"
"6",0.5,0.367,3.82737866908887,15,"KICH"
