"","likelihood","bart","expr","rank_size","cancer"
"8",0.925994222478075,0.786,2.85737918721616,1,"KIRP"
"6",0.0157854030374833,0.261,2.633853947227,2,"KICH"
"13",0.0984171180872622,0.757,2.36779634152894,3,"STES"
"4",0.506448310616382,0.654,2.3288096670676,4,"COAD_READ"
"11",0.0981366671856962,0.767,2.27394277989071,5,"LUSC"
"12",0.269074422340137,0.748,2.22299315091787,6,"PRAD"
"14",0.239682112555401,0.604,2.20453232097114,7,"THCA"
"5",0.0923323385710375,0.528,2.14413831710684,8,"HNSC"
"7",0.0794625482421792,0.833,2.12509162050362,9,"KIRC"
"10",0.888197534107784,0.795,2.10888985993236,10,"LUAD"
"15",0.998030024139412,0.572,1.94689476289989,11,"UCEC"
"2",0.87394634459174,0.813,1.78584577339427,12,"BRCA_1"
"1",0.00211342619011279,0.459,1.71015302880079,13,"BLCA"
"3",0.165141398471758,0.339,1.58486953856273,14,"BRCA_2"
"9",0.378301239778065,0.628,1.21772619325936,15,"LIHC"
