"","likelihood","bart","expr","rank_size","cancer"
"3",0.5,0.36,1.4621626408098,1,"BRCA_2"
"2",0.5,0.465,1.4109114251662,2,"BRCA_1"
"15",0.5,0.406,1.17018710526896,3,"UCEC"
"4",0.5,0.648,1.16224053672341,4,"COAD_READ"
"11",0.5,0.532,1.1242012368598,5,"LUSC"
"13",0.5,0.745,1.11037676159077,6,"STES"
"1",0.5,0.521,1.10388852313064,7,"BLCA"
"7",0.5,0.804,1.07506538231478,8,"KIRC"
"5",0.5,0.762,1.06315275193214,9,"HNSC"
"10",0.5,0.531,1.03862759684276,10,"LUAD"
"12",0.5,0.406,0.966965137267314,11,"PRAD"
"14",0.5,0.583,0.954869983282303,12,"THCA"
"8",0.5,0.726,0.80853163189362,13,"KIRP"
"9",0.5,0.652,0.482080517506463,14,"LIHC"
"6",0.5,0.197,0.360584865963627,15,"KICH"
