"","likelihood","bart","expr","rank_size","cancer"
"3",0.5,0.527,3.93229752773142,1,"BRCA_2"
"11",0.5,0.582,3.76373431115728,2,"LUSC"
"4",0.5,0.808,3.74211159637928,3,"COAD_READ"
"13",0.5,0.795,3.67067633884923,4,"STES"
"5",0.5,0.757,3.497679644217,5,"HNSC"
"14",0.5,0.763,3.48262315109054,6,"THCA"
"10",0.5,0.671,3.41411701528369,7,"LUAD"
"1",0.5,0.229,3.34295053566537,8,"BLCA"
"2",0.5,0.432,3.1935266987102,9,"BRCA_1"
"15",0.5,0.464,3.07943682200216,10,"UCEC"
"7",0.5,0.764,3.07629138572279,11,"KIRC"
"12",0.5,0.421,2.9677751833023,12,"PRAD"
"9",0.5,0.543,2.76760043183232,13,"LIHC"
"8",0.5,0.918,2.5414101893345,14,"KIRP"
"6",0.5,0.28,2.32268787116762,15,"KICH"
