"","likelihood","bart","expr","rank_size","cancer"
"12",0.5,0.285,1.72579986798327,1,"PRAD"
"5",0.5,0.101,-0.119470352006436,2,"HNSC"
"11",0.5,0.494,-0.851981479186067,3,"LUSC"
"7",0.5,0.179,-1.10778560275089,4,"KIRC"
"2",0.5,0.299,-1.19137234319358,5,"BRCA_1"
"14",0.5,0.189,-1.25008582871953,6,"THCA"
"3",0.5,0.488,-1.51934078368166,7,"BRCA_2"
"15",0.5,0.846,-1.82790293550503,8,"UCEC"
"1",0.5,0.569,-1.86515118601202,9,"BLCA"
"13",0.5,0.353,-1.88454645847794,10,"STES"
"4",0.5,0.245,-1.93511604107142,11,"COAD_READ"
"9",0.5,0.195,-2.01486512380929,12,"LIHC"
"8",0.5,0.278,-2.05415195343375,13,"KIRP"
"6",0.5,0.308,-2.07068220829868,14,"KICH"
"10",0.5,0.413,-2.08390059008911,15,"LUAD"
