"","likelihood","bart","expr","rank_size","cancer"
"11",0.5,0.819,-0.760669502577033,1,"LUSC"
"3",0.5,0.501,-0.868308407779025,2,"BRCA_2"
"13",0.5,0.775,-1.04011689487677,3,"STES"
"2",0.5,0.773,-1.06975009165465,4,"BRCA_1"
"5",0.5,0.763,-1.10563483845721,5,"HNSC"
"7",0.5,0.809,-1.22061869913749,6,"KIRC"
"10",0.5,0.753,-1.22219966040312,7,"LUAD"
"4",0.5,0.631,-1.31436184638007,8,"COAD_READ"
"15",0.5,0.434,-1.31467784817658,9,"UCEC"
"1",0.5,0.392,-1.43755966138214,10,"BLCA"
"14",0.5,0.735,-1.46513276966138,11,"THCA"
"8",0.5,0.578,-1.62719678016581,12,"KIRP"
"12",0.5,0.83,-1.66116874247005,13,"PRAD"
"9",0.5,0.792,-1.67267235212513,14,"LIHC"
"6",0.5,0.579,-1.71143505354609,15,"KICH"
