"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.742,-1.39140998094624,6,"BLCA"
"2",0.5,0.743,-1.44737565339766,7,"BRCA_1"
"3",0.5,0.571,-1.29646001152053,5,"BRCA_2"
"4",0.5,0.81,-1.51538420746048,9,"COAD_READ"
"5",0.5,0.356,-0.200969624114638,1,"HNSC"
"6",0.5,0.84,-1.95894576199887,13,"KICH"
"7",0.5,0.403,-1.92515626144497,12,"KIRC"
"8",0.5,0.344,-1.92446117128641,11,"KIRP"
"9",0.5,0.41,-2.07524350819873,15,"LIHC"
"10",0.5,0.415,-1.56069454932199,10,"LUAD"
"11",0.5,0.448,-0.630768977014364,2,"LUSC"
"12",0.5,0.537,-1.48787934523403,8,"PRAD"
"13",0.5,0.588,-1.10699741097933,4,"STES"
"14",0.5,0.318,-2.04370408604918,14,"THCA"
"15",0.5,0.83,-0.922373235868846,3,"UCEC"
