"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.377,3.96959269676792,3,"BLCA"
"2",0.5,0.696,3.63254698135608,10,"BRCA_1"
"3",0.5,0.523,3.74332512464312,6,"BRCA_2"
"4",0.5,0.844,3.65419734464444,9,"COAD_READ"
"5",0.5,0.722,4.27378226467936,2,"HNSC"
"6",0.5,0.481,3.56238001265986,13,"KICH"
"7",0.5,0.719,3.38855854447294,14,"KIRC"
"8",0.5,0.84,3.57956979879457,12,"KIRP"
"9",0.5,0.684,3.69561948302588,8,"LIHC"
"10",0.5,0.696,3.62516635103503,11,"LUAD"
"11",0.5,0.52,3.75178896639258,5,"LUSC"
"12",0.5,0.723,3.73545210150871,7,"PRAD"
"13",0.5,0.784,3.33416696268665,15,"STES"
"14",0.5,0.601,4.48279029491711,1,"THCA"
"15",0.5,0.308,3.89473535090964,4,"UCEC"
