"","likelihood","bart","expr","rank_size","cancer"
"2",0.5,0.847,1.36395305688435,1,"BRCA_1"
"12",0.5,0.662,1.00607030722607,2,"PRAD"
"13",0.5,0.54,0.783148181839124,3,"STES"
"14",0.5,0.795,0.776186341432659,4,"THCA"
"5",0.5,0.774,0.607846981048383,5,"HNSC"
"11",0.5,0.805,0.602587904698159,6,"LUSC"
"7",0.5,0.679,0.596994416949066,7,"KIRC"
"3",0.5,0.848,0.439292828923985,8,"BRCA_2"
"10",0.5,0.682,0.348828431089537,9,"LUAD"
"15",0.5,0.69,0.314816039021671,10,"UCEC"
"4",0.5,0.632,0.248543817821524,11,"COAD_READ"
"1",0.5,0.614,-0.197981887865848,12,"BLCA"
"8",0.5,0.789,-0.520959776195728,13,"KIRP"
"6",0.5,0.824,-0.86454094593679,14,"KICH"
"9",0.5,0.831,-1.34333939486218,15,"LIHC"
