"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.437,2.21603894803824,9,"BLCA"
"2",0.5,0.0679999999999999,2.6076052749336,6,"BRCA_1"
"3",0.5,0.235,2.3645367986615,8,"BRCA_2"
"4",0.5,0.141,1.86338469900629,10,"COAD_READ"
"5",0.5,0.108,2.89423831349847,3,"HNSC"
"6",0.5,0.381,1.52851209053211,14,"KICH"
"7",0.5,0.151,2.92482720956776,2,"KIRC"
"8",0.5,0.093,1.85563653736486,11,"KIRP"
"9",0.5,0.075,1.25473841045063,15,"LIHC"
"10",0.5,0.085,2.73047729844069,4,"LUAD"
"11",0.5,0.069,2.51501217411876,7,"LUSC"
"12",0.5,0.0649999999999999,1.80509461369268,13,"PRAD"
"13",0.5,0.104,2.68471950466148,5,"STES"
"14",0.5,0.12,3.0192607174682,1,"THCA"
"15",0.5,0.223,1.84853729667391,12,"UCEC"
