"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.8,0.504950487186475,10,"BLCA"
"2",0.5,0.099,0.979641681187335,1,"BRCA_1"
"3",0.5,0.535,0.88538804350907,3,"BRCA_2"
"4",0.5,0.353,0.3596758518504,11,"COAD_READ"
"5",0.5,0.072,0.313082855527635,13,"HNSC"
"6",0.5,0.293,0.616633598401368,8,"KICH"
"7",0.5,0.129,0.58886552558809,9,"KIRC"
"8",0.5,0.084,0.213439746025536,14,"KIRP"
"9",0.5,0.101,-0.346327605571881,15,"LIHC"
"10",0.5,0.129,0.638724285173351,6,"LUAD"
"11",0.5,0.21,0.721088672575309,5,"LUSC"
"12",0.5,0.105,0.755394754790503,4,"PRAD"
"13",0.5,0.159,0.931890651676234,2,"STES"
"14",0.5,0.104,0.34315344471437,12,"THCA"
"15",0.5,0.509,0.630483334968559,7,"UCEC"
