"","likelihood","bart","expr","rank_size","cancer"
"3",0.5,0.784,1.30829516014331,1,"BRCA_2"
"2",0.5,0.135,1.30197531935559,2,"BRCA_1"
"14",0.5,0.114,1.240569925633,3,"THCA"
"7",0.5,0.144,1.22901236718568,4,"KIRC"
"12",0.5,0.135,1.20728950116279,5,"PRAD"
"10",0.5,0.166,1.0871010533297,6,"LUAD"
"15",0.5,0.693,1.06980666744448,7,"UCEC"
"13",0.5,0.229,1.02592591706685,8,"STES"
"1",0.5,0.857,0.897525385526552,9,"BLCA"
"4",0.5,0.592,0.890917994432306,10,"COAD_READ"
"11",0.5,0.367,0.811191229983616,11,"LUSC"
"8",0.5,0.094,0.734271115992654,12,"KIRP"
"9",0.5,0.152,0.550137912700403,13,"LIHC"
"5",0.5,0.118,0.496490246526751,14,"HNSC"
"6",0.5,0.457,0.235987694899896,15,"KICH"
