"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.546,3.71359705264847,4,"BLCA"
"2",0.5,0.262,2.29292369829186,15,"BRCA_1"
"3",0.5,0.247,2.57805441722104,13,"BRCA_2"
"4",0.5,0.375,4.78788026902965,1,"COAD_READ"
"5",0.5,0.278,4.0309328100182,2,"HNSC"
"6",0.5,0.181,2.5424214920835,14,"KICH"
"7",0.5,0.282,3.69338155309,6,"KIRC"
"8",0.5,0.317,2.77305389510214,12,"KIRP"
"9",0.5,0.368,3.42271258883275,8,"LIHC"
"10",0.5,0.527,3.53628945701744,7,"LUAD"
"11",0.5,0.418,3.712090123217,5,"LUSC"
"12",0.5,0.434,2.81140719053671,11,"PRAD"
"13",0.5,0.496,3.83368970531241,3,"STES"
"14",0.5,0.304,2.89716279437989,10,"THCA"
"15",0.5,0.651,3.26872021274122,9,"UCEC"
