"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.102,3.38245996195892,1,"BLCA"
"2",0.5,0.052,3.02746128437728,9,"BRCA_1"
"3",0.5,0.077,3.11890760085917,6,"BRCA_2"
"4",0.5,0.29,3.16948407460543,4,"COAD_READ"
"5",0.5,0.455,3.07096428431871,7,"HNSC"
"6",0.5,0.081,2.59292712790576,15,"KICH"
"7",0.5,0.543,2.79158465001991,13,"KIRC"
"8",0.5,0.291,2.84260716840348,12,"KIRP"
"9",0.5,0.207,2.63088916060351,14,"LIHC"
"10",0.5,0.271,3.00806195178588,10,"LUAD"
"11",0.5,0.319,3.27424205023499,2,"LUSC"
"12",0.5,0.36,3.13341975245701,5,"PRAD"
"13",0.5,0.678,3.05851589399417,8,"STES"
"14",0.5,0.483,2.95442677370193,11,"THCA"
"15",0.5,0.071,3.25183822338355,3,"UCEC"
