"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.336,1.27635910521206,2,"BLCA"
"2",0.5,0.685,0.939147488820151,7,"BRCA_1"
"3",0.5,0.369,1.30644793678323,1,"BRCA_2"
"4",0.5,0.543,1.18380603071423,3,"COAD_READ"
"5",0.5,0.665,0.640148643146458,8,"HNSC"
"6",0.5,0.427,-0.605725831065194,15,"KICH"
"7",0.5,0.749,-0.365393326623296,14,"KIRC"
"8",0.5,0.568,-0.0794941537093261,12,"KIRP"
"9",0.5,0.711,-0.252030347569255,13,"LIHC"
"10",0.5,0.63,0.581029685705793,9,"LUAD"
"11",0.5,0.713,1.10397225257923,4,"LUSC"
"12",0.5,0.735,0.0961373617991609,10,"PRAD"
"13",0.5,0.692,0.955229603733177,6,"STES"
"14",0.5,0.703,-0.014844580279028,11,"THCA"
"15",0.5,0.302,1.0397283821638,5,"UCEC"
