"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.767,-2.22109277649991,10,"BLCA"
"2",0.5,0.225,-2.22430054802879,11,"BRCA_1"
"3",0.5,0.613,-2.21136469685482,8,"BRCA_2"
"4",0.5,0.409,-1.93548622147203,3,"COAD_READ"
"5",0.5,0.093,-2.27576192343196,15,"HNSC"
"6",0.5,0.293,-2.23400014789257,12,"KICH"
"7",0.5,0.181,-2.17436053773465,6,"KIRC"
"8",0.5,0.266,-2.22109216967682,9,"KIRP"
"9",0.5,0.208,-2.2421404777336,13,"LIHC"
"10",0.5,0.352,-2.15792117488936,5,"LUAD"
"11",0.5,0.467,-2.18229027827529,7,"LUSC"
"12",0.5,0.264,1.83081215835299,1,"PRAD"
"13",0.5,0.32,-1.42029340229342,2,"STES"
"14",0.5,0.185,-2.252788845192,14,"THCA"
"15",0.5,0.811,-2.13033653575628,4,"UCEC"
