"","likelihood","bart","expr","rank_size","cancer"
"5",0.00160007491737843,0.969,3.79365700347631,1,"HNSC"
"11",0.00392377445956107,0.941,2.39955470151567,2,"LUSC"
"13",5.63033746267381e-06,0.941,2.34462461602325,3,"STES"
"1",0.594181898210362,0.312,2.24638964377415,4,"BLCA"
"4",0.0146304480029184,0.962,1.8615149371042,5,"COAD_READ"
"15",6.80631948653072e-05,0.388,1.20223089195315,6,"UCEC"
"10",0.0207458962418359,0.926,1.12101042747347,7,"LUAD"
"14",0.703027149694426,0.958,1.11777501658989,8,"THCA"
"3",0.0966336038989924,0.738,1.00894202896595,9,"BRCA_2"
"7",0.131992614950812,0.865,0.926663824308015,10,"KIRC"
"8",0.408233477307139,0.977,0.800165942046707,11,"KIRP"
"12",0.0646149213395861,0.339,-0.0297238216263286,12,"PRAD"
"2",0.113967959397496,0.611,-0.114246808595007,13,"BRCA_1"
"6",0.0104068490421818,0.583,-0.435811657614239,14,"KICH"
"9",0.244822261986281,0.826,-0.621627533687655,15,"LIHC"
