"","likelihood","bart","expr","rank_size","cancer"
"4",0.000234049636239627,0.69,2.84951618711163,1,"COAD_READ"
"9",2.89041583154207e-09,0.615,2.79812643072438,2,"LIHC"
"13",0.613541657614541,0.967,2.11967641930536,3,"STES"
"15",0.0153844787826533,0.372,1.98696844425544,4,"UCEC"
"10",0.000232553229811125,0.932,1.88329158408188,5,"LUAD"
"11",0.941258771913834,0.824,-0.517015743117046,6,"LUSC"
"14",0.54687940506825,0.833,-0.644027792367797,7,"THCA"
"12",0.521041629581639,0.92,-1.47545787526468,8,"PRAD"
"5",2.72512486463681e-11,0.712,-1.51162434003591,9,"HNSC"
"7",0.921678862422956,0.767,-1.5275833349475,10,"KIRC"
"1",0.00601848009128741,0.258,-1.90678705626531,11,"BLCA"
"8",0.00584744677134127,0.535,-1.93304816444082,12,"KIRP"
"3",0.00674411711785323,0.253,-2.01528400211419,13,"BRCA_2"
"2",0.00488034918166052,0.822,-2.22218014760279,14,"BRCA_1"
"6",0.0422813321486532,0.518,-2.23766218764859,15,"KICH"
