"","likelihood","bart","expr","rank_size","cancer"
"11",0.5,0.212,2.32733681234278,1,"LUSC"
"3",0.5,0.208,2.29070000368879,2,"BRCA_2"
"15",0.5,0.429,2.15669071057318,3,"UCEC"
"5",0.5,0.291,2.07406336621335,4,"HNSC"
"1",0.5,0.631,2.06286494112038,5,"BLCA"
"10",0.5,0.4,2.03435011956495,6,"LUAD"
"13",0.5,0.624,2.00009612422626,7,"STES"
"2",0.5,0.416,1.98908766792524,8,"BRCA_1"
"4",0.5,0.709,1.90772864650498,9,"COAD_READ"
"14",0.5,0.277,1.82390192771555,10,"THCA"
"8",0.5,0.311,1.69665894709565,11,"KIRP"
"12",0.5,0.533,1.67117024049737,12,"PRAD"
"6",0.5,0.19,1.24712345474138,13,"KICH"
"7",0.5,0.403,1.17630188705812,14,"KIRC"
"9",0.5,0.439,1.16827999412914,15,"LIHC"
