"","likelihood","bart","expr","rank_size","cancer"
"8",0.5,0.261,2.57273018634244,1,"KIRP"
"12",0.5,0.463,2.44035703287867,2,"PRAD"
"14",0.5,0.589,2.41157268582468,3,"THCA"
"5",0.5,0.238,2.31487439242392,4,"HNSC"
"3",0.5,0.224,2.29842908094096,5,"BRCA_2"
"2",0.5,0.559,2.29700545631631,6,"BRCA_1"
"11",0.5,0.6,2.28778382735621,7,"LUSC"
"1",0.5,0.282,2.28268309095611,8,"BLCA"
"10",0.5,0.624,2.25921917049055,9,"LUAD"
"15",0.5,0.572,2.23438711755161,10,"UCEC"
"6",0.5,0.361,2.09693192683614,11,"KICH"
"7",0.5,0.269,2.08672494900592,12,"KIRC"
"13",0.5,0.732,2.00515954597366,13,"STES"
"4",0.5,0.745,1.99123483078239,14,"COAD_READ"
"9",0.5,0.329,1.83772779808477,15,"LIHC"
