"","likelihood","bart","expr","rank_size","cancer"
"13",1.91714220165559e-19,0.878,2.90297493702615,1,"STES"
"4",7.77414330323472e-05,0.533,2.44216830726784,2,"COAD_READ"
"14",0.00205672535101623,0.919,1.13637919137626,3,"THCA"
"9",1.22007970390436e-09,0.809,1.06179799125208,4,"LIHC"
"10",0.00268910282441851,0.933,0.986061755522453,5,"LUAD"
"3",0.574965056196622,0.206,0.89504147189814,6,"BRCA_2"
"12",0.000527328014260201,0.935,0.44355351076849,7,"PRAD"
"11",3.30322056198144e-07,0.638,0.392656264962798,8,"LUSC"
"2",3.05490114207171e-13,0.675,0.209146627728347,9,"BRCA_1"
"7",0.0263284616212446,0.688,0.131080600420676,10,"KIRC"
"8",0.000159803334703667,0.282,-0.115936427438266,11,"KIRP"
"1",0.00443215269721443,0.346,-0.250774628035306,12,"BLCA"
"5",0.000960564790319705,0.301,-0.311732587061666,13,"HNSC"
"15",0.0131327508493127,0.715,-0.341128441685537,14,"UCEC"
"6",0.00704470586316885,0.43,-0.986737176239143,15,"KICH"
