"","likelihood","bart","expr","rank_size","cancer"
"3",0.5,0.604,2.32493642021226,1,"BRCA_2"
"2",0.5,0.942,2.21878052683719,2,"BRCA_1"
"13",0.5,0.733,2.08376072522161,3,"STES"
"15",0.5,0.864,1.98040432611579,4,"UCEC"
"11",0.5,0.749,1.92987358360007,5,"LUSC"
"10",0.5,0.801,1.92396784620248,6,"LUAD"
"14",0.5,0.578,1.8862324179544,7,"THCA"
"1",0.5,0.862,1.65169248044715,8,"BLCA"
"7",0.5,0.279,1.6466775713359,9,"KIRC"
"5",0.5,0.454,1.57961642895093,10,"HNSC"
"12",0.5,0.661,1.54548441615686,11,"PRAD"
"4",0.5,0.848,1.52873250538829,12,"COAD_READ"
"8",0.5,0.454,1.34904122007316,13,"KIRP"
"9",0.5,0.623,1.22750767438339,14,"LIHC"
"6",0.5,0.535,1.17764164215127,15,"KICH"
