"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.858,2.61244569615248,3,"BLCA"
"2",0.5,0.642,2.44605941146412,8,"BRCA_1"
"3",0.5,0.912,2.69728415240148,2,"BRCA_2"
"4",0.5,0.744,2.458659747067,7,"COAD_READ"
"5",0.5,0.723,2.36617235605189,10,"HNSC"
"6",0.5,0.325,1.83842121402753,14,"KICH"
"7",0.5,0.513,2.1729031123941,13,"KIRC"
"8",0.5,0.911,2.31591123425417,11,"KIRP"
"9",0.5,0.744,1.4919503497283,15,"LIHC"
"10",0.5,0.697,2.49615740120575,5,"LUAD"
"11",0.5,0.852,2.70473129916555,1,"LUSC"
"12",0.5,0.43,2.19069859785372,12,"PRAD"
"13",0.5,0.543,2.47411694745044,6,"STES"
"14",0.5,0.586,2.3723120411558,9,"THCA"
"15",0.5,0.898,2.58660326780937,4,"UCEC"
