"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.258,-1.33340233101259,7,"BLCA"
"2",0.5,0.743,0.189472813583465,2,"BRCA_1"
"3",0.5,0.29,0.497987023802182,1,"BRCA_2"
"4",0.5,0.604,-1.76600766476276,11,"COAD_READ"
"5",0.5,0.707,-1.46620585628464,9,"HNSC"
"6",0.5,0.338,-1.79390839628987,12,"KICH"
"7",0.5,0.897,-0.925840830100656,5,"KIRC"
"8",0.5,0.561,-0.351608571298162,3,"KIRP"
"9",0.5,0.78,-2.2585672257395,15,"LIHC"
"10",0.5,0.689,-1.47112196290114,10,"LUAD"
"11",0.5,0.683,-1.24951150285278,6,"LUSC"
"12",0.5,0.827,-1.82179398250176,13,"PRAD"
"13",0.5,0.79,-0.368598100913107,4,"STES"
"14",0.5,0.784,-2.25281442737037,14,"THCA"
"15",0.5,0.269,-1.44947418549295,8,"UCEC"
