"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.713,0.906716699772873,1,"BLCA"
"11",0.5,0.237,0.70018580453032,2,"LUSC"
"5",0.5,0.082,0.614513768073143,3,"HNSC"
"8",0.5,0.098,0.350447183450876,4,"KIRP"
"13",0.5,0.206,0.179852044410606,5,"STES"
"4",0.5,0.278,-0.233646238289539,6,"COAD_READ"
"3",0.5,0.36,-0.552956231180278,7,"BRCA_2"
"7",0.5,0.157,-0.60483424350621,8,"KIRC"
"10",0.5,0.223,-0.838790652480793,9,"LUAD"
"12",0.5,0.156,-0.892621019664526,10,"PRAD"
"6",0.5,0.222,-1.06775044890754,11,"KICH"
"2",0.5,0.143,-1.07354927146125,12,"BRCA_1"
"15",0.5,0.708,-1.07545535131647,13,"UCEC"
"14",0.5,0.145,-1.81293432181061,14,"THCA"
"9",0.5,0.12,-1.8738801230844,15,"LIHC"
