"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.689,0.86571803653118,9,"BLCA"
"2",0.5,0.687,0.968092781190195,6,"BRCA_1"
"3",0.5,0.591,0.908105196501633,8,"BRCA_2"
"4",0.5,0.722,1.23597027268601,3,"COAD_READ"
"5",0.5,0.782,0.538384999142286,15,"HNSC"
"6",0.5,0.767,0.632728234969144,12,"KICH"
"7",0.5,0.569,0.602257160697898,13,"KIRC"
"8",0.5,0.564,0.676102028253236,11,"KIRP"
"9",0.5,0.703,0.578592609121698,14,"LIHC"
"10",0.5,0.502,0.996595876719929,5,"LUAD"
"11",0.5,0.595,0.960771578490685,7,"LUSC"
"12",0.5,0.683,1.50984224642324,1,"PRAD"
"13",0.5,0.777,0.834556558057857,10,"STES"
"14",0.5,0.415,1.36949138273247,2,"THCA"
"15",0.5,0.658,1.12007386098759,4,"UCEC"
