"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.6,3.49156980724595,8,"BLCA"
"2",0.5,0.093,3.29948073898871,11,"BRCA_1"
"3",0.5,0.147,3.95125384006582,2,"BRCA_2"
"4",0.5,0.0570000000000001,4.14986521716094,1,"COAD_READ"
"5",0.5,0.205,3.9092859245916,3,"HNSC"
"6",0.5,0.827,3.19422332348907,13,"KICH"
"7",0.5,0.0629999999999999,3.08620307517768,14,"KIRC"
"8",0.5,0.075,3.41846693584018,9,"KIRP"
"9",0.5,0.094,3.23137306291366,12,"LIHC"
"10",0.5,0.0629999999999999,3.76077053572012,5,"LUAD"
"11",0.5,0.189,3.87221820418897,4,"LUSC"
"12",0.5,0.07,3.69937270775351,6,"PRAD"
"13",0.5,0.075,3.67641263835887,7,"STES"
"14",0.5,0.07,2.08452632541236,15,"THCA"
"15",0.5,0.231,3.34542611199822,10,"UCEC"
