"","likelihood","bart","expr","rank_size","cancer"
"1",0.603880885447934,0.291,5.17803781406356,2,"BLCA"
"2",0.00759957408662542,0.26,4.17342022180651,11,"BRCA_1"
"3",0.0366629149049606,0.427,4.02604351956768,12,"BRCA_2"
"4",2.53702561528117e-10,0.577,4.76825004228002,6,"COAD_READ"
"5",0.00242946920128517,0.846,5.27594427185568,1,"HNSC"
"6",5.1275785871021e-06,0.155,3.73475040385605,14,"KICH"
"7",0.0982850924662332,0.907,4.60909448643006,8,"KIRC"
"8",2.85227167945545e-07,0.886,3.80501833276546,13,"KIRP"
"9",8.88361751278505e-12,0.442,3.64625473014146,15,"LIHC"
"10",5.53151902581293e-09,0.55,4.49823477843409,9,"LUAD"
"11",6.03736664982553e-06,0.453,4.6198608403271,7,"LUSC"
"12",5.07834463655703e-08,0.304,4.81995980198489,4,"PRAD"
"13",1.17107277233906e-07,0.699,4.77151972973845,5,"STES"
"14",0.00335527375765164,0.834,5.04743684626613,3,"THCA"
"15",1.48654101515624e-20,0.41,4.47532383697408,10,"UCEC"
