"","likelihood","bart","expr","rank_size","cancer"
"2",0.000271420241016361,0.911,2.71707464567895,1,"BRCA_1"
"3",1.76428975693986e-07,0.912,2.61417112102383,2,"BRCA_2"
"5",0.435456018839667,0.754,2.41913948550661,3,"HNSC"
"11",0.0909550321682416,0.829,2.41652597335603,4,"LUSC"
"15",0.217575390926732,0.925,2.36934779593314,5,"UCEC"
"1",0.0223695767116293,0.952,2.28229228978306,6,"BLCA"
"10",0.0474812710975187,0.705,2.27226926518325,7,"LUAD"
"12",0.000181837488176607,0.685,2.05681358572387,8,"PRAD"
"13",0.228648649185298,0.684,1.880506306691,9,"STES"
"14",0.674493348855776,0.715,1.81504128827124,10,"THCA"
"4",0.306203183614166,0.826,1.7521572200969,11,"COAD_READ"
"7",0.0106720990295636,0.355,1.54525572159299,12,"KIRC"
"8",0.457045069365459,0.734,1.38877853105526,13,"KIRP"
"6",2.19839257399506e-07,0.971,0.931280245398677,14,"KICH"
"9",0.000203352529499129,0.819,0.77222671939736,15,"LIHC"
