"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.858,1.14189979336916,15,"BLCA"
"2",0.5,0.263,1.99589881107684,11,"BRCA_1"
"3",0.5,0.702,2.12890416456886,10,"BRCA_2"
"4",0.5,0.465,2.41664848559594,7,"COAD_READ"
"5",0.5,0.258,2.74752157567108,2,"HNSC"
"6",0.5,0.629,2.74848853223178,1,"KICH"
"7",0.5,0.187,2.50958578811187,5,"KIRC"
"8",0.5,0.212,2.45760382300675,6,"KIRP"
"9",0.5,0.272,1.73087172992502,13,"LIHC"
"10",0.5,0.236,2.2406365726089,9,"LUAD"
"11",0.5,0.319,2.39918137323145,8,"LUSC"
"12",0.5,0.182,1.56839783881252,14,"PRAD"
"13",0.5,0.251,2.65203296223982,3,"STES"
"14",0.5,0.149,2.55779328824602,4,"THCA"
"15",0.5,0.765,1.84901123308275,12,"UCEC"
