"","likelihood","bart","expr","rank_size","cancer"
"13",0.5,0.907,2.2064629167296,1,"STES"
"1",0.5,0.238,2.1713559705655,2,"BLCA"
"11",0.5,0.92,2.13471694504789,3,"LUSC"
"3",0.5,0.768,2.03827040148577,4,"BRCA_2"
"4",0.5,0.926,2.02077117068198,5,"COAD_READ"
"15",0.5,0.542,1.95129253642966,6,"UCEC"
"10",0.5,0.913,1.93329084169275,7,"LUAD"
"2",0.5,0.569,1.80559502021239,8,"BRCA_1"
"12",0.5,0.529,1.78310460387077,9,"PRAD"
"5",0.5,0.902,1.71835049832842,10,"HNSC"
"6",0.5,0.337,1.69627586865714,11,"KICH"
"14",0.5,0.908,1.65989106332622,12,"THCA"
"8",0.5,0.929,1.58323346858003,13,"KIRP"
"7",0.5,0.665,1.49049245120197,14,"KIRC"
"9",0.5,0.737,1.35519293494823,15,"LIHC"
