"","likelihood","bart","expr","rank_size","cancer"
"15",0.5,0.718,2.05902130605013,1,"UCEC"
"12",0.5,0.544,1.99238433040838,2,"PRAD"
"3",0.5,0.684,1.96489433357233,3,"BRCA_2"
"11",0.5,0.548,1.90465436873871,4,"LUSC"
"2",0.5,0.739,1.89339365221126,5,"BRCA_1"
"8",0.5,0.788,1.87149460413367,6,"KIRP"
"1",0.5,0.704,1.82538714696475,7,"BLCA"
"7",0.5,0.676,1.8151516745396,8,"KIRC"
"10",0.5,0.536,1.75114552036575,9,"LUAD"
"13",0.5,0.645,1.72915243105022,10,"STES"
"4",0.5,0.706,1.71933977183123,11,"COAD_READ"
"14",0.5,0.55,1.69867491655979,12,"THCA"
"6",0.5,0.724,1.66184894194246,13,"KICH"
"5",0.5,0.76,1.56486138522069,14,"HNSC"
"9",0.5,0.785,1.55022035223335,15,"LIHC"
