"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.889,2.43456450434372,4,"BLCA"
"2",0.5,0.913,2.47307784951868,1,"BRCA_1"
"3",0.5,0.926,2.36867886820285,6,"BRCA_2"
"4",0.5,0.894,2.13703344515077,11,"COAD_READ"
"5",0.5,0.927,2.08768202924794,14,"HNSC"
"6",0.5,0.656,2.41491099901376,5,"KICH"
"7",0.5,0.865,2.25119581870976,9,"KIRC"
"8",0.5,0.777,2.12224697829179,13,"KIRP"
"9",0.5,0.949,1.74795602895234,15,"LIHC"
"10",0.5,0.89,2.28278091061455,7,"LUAD"
"11",0.5,0.812,2.18316258590463,10,"LUSC"
"12",0.5,0.916,2.43919980678117,3,"PRAD"
"13",0.5,0.893,2.27394406394124,8,"STES"
"14",0.5,0.775,2.47048655985504,2,"THCA"
"15",0.5,0.871,2.1330379080136,12,"UCEC"
