"","likelihood","bart","expr","rank_size","cancer"
"15",0.5,0.179,1.88295663352643,1,"UCEC"
"1",0.5,0.226,1.55867356270433,2,"BLCA"
"4",0.5,0.172,1.52347334687405,3,"COAD_READ"
"8",0.5,0.187,1.51981042870305,4,"KIRP"
"11",0.5,0.217,1.46884965198576,5,"LUSC"
"10",0.5,0.389,1.35982946796412,6,"LUAD"
"3",0.5,0.148,1.35310444776312,7,"BRCA_2"
"5",0.5,0.33,1.30423800907431,8,"HNSC"
"13",0.5,0.387,1.24625209746467,9,"STES"
"14",0.5,0.713,1.22911049698023,10,"THCA"
"2",0.5,0.212,1.16649723701416,11,"BRCA_1"
"9",0.5,0.696,1.10877119321389,12,"LIHC"
"12",0.5,0.913,1.08826886245347,13,"PRAD"
"7",0.5,0.506,0.947001188769515,14,"KIRC"
"6",0.5,0.249,0.754367001093419,15,"KICH"
