"","likelihood","bart","expr","rank_size","cancer"
"1",8.25903381571723e-13,0.098,0.0672133402375579,10,"BLCA"
"2",3.82413462221979e-12,0.173,0.17735970952949,7,"BRCA_1"
"3",1.58821198705878e-13,0.35,0.23665268440856,6,"BRCA_2"
"4",4.57059539903092e-08,0.113,-0.0347658050641019,11,"COAD_READ"
"5",3.57228495424527e-20,0.487,-0.169083405180671,13,"HNSC"
"6",2.2351756360866e-34,0.141,-0.223692640089834,15,"KICH"
"7",0.0035317693059561,0.964,0.836201537574409,1,"KIRC"
"8",6.00567803387751e-18,0.936,0.24975998081883,5,"KIRP"
"9",2.78472061670356e-05,0.152,-0.174698618156799,14,"LIHC"
"10",6.13143096682376e-19,0.162,0.637610353231467,2,"LUAD"
"11",2.46125716524139e-21,0.1,0.0791410270127206,9,"LUSC"
"12",3.34160944793165e-06,0.277,-0.111454363516229,12,"PRAD"
"13",8.89090581320165e-08,0.458,0.411713545241405,3,"STES"
"14",0.112766533276495,0.872,0.309308472570291,4,"THCA"
"15",4.14927410419602e-08,0.176,0.118513758135222,8,"UCEC"
