"","likelihood","bart","expr","rank_size","cancer"
"1",0.363935203376539,0.203,2.36860726625593,1,"BLCA"
"2",0.217593835727673,0.535,1.07148342140262,15,"BRCA_1"
"3",0.242255195579146,0.17,1.40160381057374,12,"BRCA_2"
"4",0.33407661206165,0.791,1.64431113655889,11,"COAD_READ"
"5",0.126575288792979,0.612,1.85186561364042,5,"HNSC"
"6",0.981292357087181,0.234,1.89199193108803,4,"KICH"
"7",0.699194340487039,0.802,1.64880090504176,9,"KIRC"
"8",0.0208818777439502,0.649,1.39715956896404,13,"KIRP"
"9",3.47580674000399e-07,0.634,1.19293722953316,14,"LIHC"
"10",0.29682571534308,0.752,1.64604492630339,10,"LUAD"
"11",0.464189705869291,0.815,1.778426040458,6,"LUSC"
"12",0.356819939333412,0.703,2.07515966244975,2,"PRAD"
"13",0.064592053909055,0.874,1.77142287307328,7,"STES"
"14",0.153602464522064,0.605,1.95593728502873,3,"THCA"
"15",0.000538102038934346,0.2,1.66192713632043,8,"UCEC"
