"","likelihood","bart","expr","rank_size","cancer"
"6",0.0122745209043704,0.192,2.5000489801845,1,"KICH"
"10",0.124731836891692,0.855,2.37664431857447,2,"LUAD"
"4",0.672007944254092,0.898,2.27006651351772,3,"COAD_READ"
"13",0.586122732850727,0.918,2.25613133831704,4,"STES"
"1",1.33249305361437e-06,0.144,2.20391531428202,5,"BLCA"
"7",0.328712249829682,0.812,2.14365537787434,6,"KIRC"
"12",0.348669513205452,0.721,2.13526887133542,7,"PRAD"
"5",0.222347907936037,0.821,2.10672460440421,8,"HNSC"
"11",0.570052091681337,0.912,1.97559254049154,9,"LUSC"
"8",0.159349190509425,0.793,1.91976802384664,10,"KIRP"
"14",0.638286257824792,0.738,1.69429816798852,11,"THCA"
"3",0.408770824663804,0.486,1.46166229210035,12,"BRCA_2"
"2",0.0157658774250533,0.529,1.44108931510121,13,"BRCA_1"
"15",0.281218334590841,0.404,1.36311941645708,14,"UCEC"
"9",0.430185664033746,0.68,1.28393826850048,15,"LIHC"
