"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.735,2.1689019512074,14,"BLCA"
"2",0.5,0.392,2.52589721681913,8,"BRCA_1"
"3",0.5,0.711,2.54926969408702,6,"BRCA_2"
"4",0.5,0.28,2.3978911616895,11,"COAD_READ"
"5",0.5,0.297,2.53928670700547,7,"HNSC"
"6",0.5,0.881,2.66325094067243,4,"KICH"
"7",0.5,0.114,3.00183691071949,1,"KIRC"
"8",0.5,0.281,2.32156777934628,12,"KIRP"
"9",0.5,0.304,1.92303469941902,15,"LIHC"
"10",0.5,0.16,2.4907325619284,9,"LUAD"
"11",0.5,0.296,2.75860235311859,3,"LUSC"
"12",0.5,0.185,2.42967445882474,10,"PRAD"
"13",0.5,0.123,2.66182590160465,5,"STES"
"14",0.5,0.24,2.82434724060458,2,"THCA"
"15",0.5,0.56,2.19362204476164,13,"UCEC"
