"","likelihood","bart","expr","rank_size","cancer"
"7",0.5,0.211,-0.919912863269651,1,"KIRC"
"13",0.5,0.313,-1.15917982997326,2,"STES"
"9",0.5,0.222,-1.21651627517502,3,"LIHC"
"10",0.5,0.228,-1.44278720747806,4,"LUAD"
"8",0.5,0.162,-1.53875852672529,5,"KIRP"
"3",0.5,0.409,-1.64918768215345,6,"BRCA_2"
"2",0.5,0.166,-1.66996099302638,7,"BRCA_1"
"11",0.5,0.317,-1.68004170887671,8,"LUSC"
"1",0.5,0.626,-1.71027100872935,9,"BLCA"
"15",0.5,0.449,-1.73207153883605,10,"UCEC"
"5",0.5,0.338,-1.75763961994688,11,"HNSC"
"4",0.5,0.297,-1.81444308931036,12,"COAD_READ"
"14",0.5,0.143,-1.81512920471479,13,"THCA"
"6",0.5,0.345,-1.85517224393158,14,"KICH"
"12",0.5,0.164,-1.88170385167732,15,"PRAD"
