"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.437,2.65611573974602,6,"BLCA"
"2",0.5,0.83,2.35467655176799,8,"BRCA_1"
"3",0.5,0.607,3.00542875148877,3,"BRCA_2"
"4",0.5,0.716,3.03088749340494,2,"COAD_READ"
"5",0.5,0.802,2.91839164958459,4,"HNSC"
"6",0.5,0.486,1.55883146874467,14,"KICH"
"7",0.5,0.91,1.4496413266202,15,"KIRC"
"8",0.5,0.662,1.63639931438148,12,"KIRP"
"9",0.5,0.857,1.56852204665398,13,"LIHC"
"10",0.5,0.788,2.20110498778086,9,"LUAD"
"11",0.5,0.757,3.4272828416724,1,"LUSC"
"12",0.5,0.832,1.74200668371473,11,"PRAD"
"13",0.5,0.798,2.52539509880542,7,"STES"
"14",0.5,0.823,1.92022410139227,10,"THCA"
"15",0.5,0.572,2.8664439674382,5,"UCEC"
