"","likelihood","bart","expr","rank_size","cancer"
"15",0.5,0.911,2.8876018641461,1,"UCEC"
"6",0.5,0.529,2.69923101909818,2,"KICH"
"13",0.5,0.772,2.34992037203374,3,"STES"
"1",0.5,0.222,2.23937755272362,4,"BLCA"
"4",0.5,0.276,2.04095649078421,5,"COAD_READ"
"10",0.5,0.921,1.77498830170896,6,"LUAD"
"11",0.5,0.876,1.59880177044951,7,"LUSC"
"7",0.5,0.42,1.19818750700366,8,"KIRC"
"14",0.5,0.784,0.544725098494809,9,"THCA"
"2",0.5,0.718,0.272637247391798,10,"BRCA_1"
"12",0.5,0.724,0.14247579735036,11,"PRAD"
"3",0.5,0.312,0.00649759966429793,12,"BRCA_2"
"5",0.5,0.232,-0.0460761270970657,13,"HNSC"
"8",0.5,0.774,-0.227352878490864,14,"KIRP"
"9",0.5,0.56,-0.544571371563159,15,"LIHC"
