"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.344,2.03365153042285,14,"BLCA"
"2",0.5,0.463,2.78692474110473,1,"BRCA_1"
"3",0.5,0.273,2.44336743883498,7,"BRCA_2"
"4",0.5,0.537,2.21504849001572,10,"COAD_READ"
"5",0.5,0.581,2.19468061741954,11,"HNSC"
"6",0.5,0.362,2.37643468972581,8,"KICH"
"7",0.5,0.786,2.71011433232819,2,"KIRC"
"8",0.5,0.617,1.99710394319149,15,"KIRP"
"9",0.5,0.612,2.08386387681262,13,"LIHC"
"10",0.5,0.46,2.69158686807394,4,"LUAD"
"11",0.5,0.291,2.28886192068741,9,"LUSC"
"12",0.5,0.369,2.66748164712313,5,"PRAD"
"13",0.5,0.527,2.69256574439931,3,"STES"
"14",0.5,0.551,2.54107042399153,6,"THCA"
"15",0.5,0.314,2.09430124246174,12,"UCEC"
