"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.548,2.35235711785663,3,"BLCA"
"2",0.5,0.247,2.29236166131656,4,"BRCA_1"
"3",0.5,0.569,2.61556690733085,1,"BRCA_2"
"4",0.5,0.456,2.11855672782095,9,"COAD_READ"
"5",0.5,0.382,2.21363694952017,5,"HNSC"
"6",0.5,0.6,1.53407890992206,15,"KICH"
"7",0.5,0.133,1.86831336965147,11,"KIRC"
"8",0.5,0.145,1.68367705760375,14,"KIRP"
"9",0.5,0.521,1.71831740108207,13,"LIHC"
"10",0.5,0.324,2.21019675407787,6,"LUAD"
"11",0.5,0.525,2.52345734605332,2,"LUSC"
"12",0.5,0.548,2.15553343744776,8,"PRAD"
"13",0.5,0.399,1.94541145526173,10,"STES"
"14",0.5,0.204,1.78188833503298,12,"THCA"
"15",0.5,0.524,2.19491310742841,7,"UCEC"
