"","likelihood","bart","expr","rank_size","cancer"
"2",6.01329491766439e-05,0.397,2.86448403095716,1,"BRCA_1"
"4",2.9820910607611e-07,0.246,2.69531371392014,2,"COAD_READ"
"13",7.0004215809784e-12,0.298,1.31530086250416,3,"STES"
"3",5.26885317669881e-05,0.899,1.06002711002239,4,"BRCA_2"
"15",6.26801685221148e-05,0.158,0.725876109018798,5,"UCEC"
"12",7.65554385083986e-15,0.409,0.425307122585896,6,"PRAD"
"11",0.000258335129590339,0.135,0.384660140404707,7,"LUSC"
"1",2.10491758058866e-12,0.211,0.0275275400583856,8,"BLCA"
"10",2.98857686814836e-10,0.197,0.00891016413977411,9,"LUAD"
"5",2.5234345528706e-09,0.42,-0.970314605051084,10,"HNSC"
"14",4.42915649879653e-10,0.256,-1.24520343612717,11,"THCA"
"7",6.74530105779495e-14,0.892,-1.48707971319326,12,"KIRC"
"8",2.9556008161841e-10,0.608,-1.6675748181366,13,"KIRP"
"9",2.450731189887e-06,0.207,-1.67437327047654,14,"LIHC"
"6",1.63643533337963e-08,0.234,-2.13602424225074,15,"KICH"
