"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.854,0.425995252895623,2,"BLCA"
"2",0.5,0.301,-0.654622885744625,9,"BRCA_1"
"3",0.5,0.856,0.0145100039873002,4,"BRCA_2"
"4",0.5,0.741,-0.159783342330655,5,"COAD_READ"
"5",0.5,0.357,-1.06781479067829,12,"HNSC"
"6",0.5,0.901,-1.15435827957775,13,"KICH"
"7",0.5,0.124,-0.917894940379549,11,"KIRC"
"8",0.5,0.195,-1.60947440259616,14,"KIRP"
"9",0.5,0.421,-0.846235535819438,10,"LIHC"
"10",0.5,0.201,-0.60405043709041,8,"LUAD"
"11",0.5,0.751,-0.547232795742091,7,"LUSC"
"12",0.5,0.262,-1.94703176836826,15,"PRAD"
"13",0.5,0.437,0.232293684803376,3,"STES"
"14",0.5,0.14,-0.54355499962262,6,"THCA"
"15",0.5,0.723,1.08486220812767,1,"UCEC"
