"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.478,1.21870020340658,4,"BLCA"
"2",0.5,0.637,1.36771387939961,3,"BRCA_1"
"3",0.5,0.314,1.38471739824024,2,"BRCA_2"
"4",0.5,0.533,1.009524257899,11,"COAD_READ"
"5",0.5,0.67,1.09614414554881,9,"HNSC"
"6",0.5,0.268,0.917562387261991,13,"KICH"
"7",0.5,0.565,1.2119654991821,5,"KIRC"
"8",0.5,0.592,0.808970673057637,14,"KIRP"
"9",0.5,0.793,0.651879134414895,15,"LIHC"
"10",0.5,0.497,1.19137441349533,6,"LUAD"
"11",0.5,0.387,1.90205803996751,1,"LUSC"
"12",0.5,0.581,1.09809981157294,8,"PRAD"
"13",0.5,0.438,1.16184914443099,7,"STES"
"14",0.5,0.531,0.974003931827425,12,"THCA"
"15",0.5,0.369,1.07619867077955,10,"UCEC"
