"","likelihood","bart","expr","rank_size","cancer"
"1",0.5,0.287,-2.21013645653032,7,"BLCA"
"2",0.5,0.703,-2.26116303518705,10,"BRCA_1"
"3",0.5,0.525,-2.17821982706488,5,"BRCA_2"
"4",0.5,0.73,-2.27953584036319,14,"COAD_READ"
"5",0.5,0.875,-1.57751008616273,1,"HNSC"
"6",0.5,0.622,-2.29599022146237,15,"KICH"
"7",0.5,0.895,-2.14348019440768,4,"KIRC"
"8",0.5,0.728,-2.26032616195423,9,"KIRP"
"9",0.5,0.921,-2.26284946672363,11,"LIHC"
"10",0.5,0.597,-2.27872107442847,13,"LUAD"
"11",0.5,0.539,-1.62286263055541,2,"LUSC"
"12",0.5,0.59,-2.18179552732887,6,"PRAD"
"13",0.5,0.813,-2.21521824805097,8,"STES"
"14",0.5,0.882,-2.27690962251902,12,"THCA"
"15",0.5,0.339,-1.83838164823354,3,"UCEC"
