"","likelihood","bart","expr","rank_size","cancer"
"5",0.5,0.774,-0.283874512241923,1,"HNSC"
"2",0.5,0.51,-1.96594656476902,2,"BRCA_1"
"12",0.5,0.67,-1.98128903140743,3,"PRAD"
"13",0.5,0.825,-2.08529910388415,4,"STES"
"7",0.5,0.873,-2.10057049163278,5,"KIRC"
"15",0.5,0.179,-2.13893006262743,6,"UCEC"
"8",0.5,0.51,-2.1673460296726,7,"KIRP"
"3",0.5,0.295,-2.20845455659069,8,"BRCA_2"
"14",0.5,0.816,-2.22293909793832,9,"THCA"
"11",0.5,0.594,-2.2294554650095,10,"LUSC"
"1",0.5,0.192,-2.26208607904067,11,"BLCA"
"9",0.5,0.854,-2.26528055630472,12,"LIHC"
"10",0.5,0.545,-2.26553308883914,13,"LUAD"
"6",0.5,0.331,-2.28515245636477,14,"KICH"
"4",0.5,0.549,-2.28951622095188,15,"COAD_READ"
