"","likelihood","bart","expr","rank_size","cancer"
"13",0.5,0.758,1.29286137204766,1,"STES"
"3",0.5,0.739,1.22773718839968,2,"BRCA_2"
"11",0.5,0.596,1.16376456200776,3,"LUSC"
"7",0.5,0.435,1.15192794085832,4,"KIRC"
"10",0.5,0.657,1.07317618742281,5,"LUAD"
"2",0.5,0.708,1.04290331773039,6,"BRCA_1"
"4",0.5,0.791,0.947720103471136,7,"COAD_READ"
"5",0.5,0.615,0.921955379858118,8,"HNSC"
"15",0.5,0.876,0.791696433538253,9,"UCEC"
"12",0.5,0.608,0.762220561775197,10,"PRAD"
"1",0.5,0.849,0.708316162340054,11,"BLCA"
"8",0.5,0.516,0.619064338983619,12,"KIRP"
"14",0.5,0.423,0.523565154080121,13,"THCA"
"9",0.5,0.681,0.407716161759606,14,"LIHC"
"6",0.5,0.587,0.294998634879551,15,"KICH"
